VTW,BTW,VAW,BAW,V,VMG,PHI,REEF,FLAT,XX,SAIL,Notes
10,50,15.51,28.63,7.204,4.63,11.9,1,0.9397,3,Jib,
10,55,15.68,30.24,7.79,4.468,13.9,1,0.9985,4,Jib,
10,60,15.63,32.28,8.171,4.086,14.1,1,1,3,Jib,
10,65,15.42,34.58,8.413,3.555,13.9,1,1,3,Jib,
10,70,15.12,37.03,8.578,2.934,13.3,1,1,3,Jib,
10,75,14.92,38.95,8.713,2.255,20.1,1,0.99,2,Asym Spintacked on CL,
10,80,14.54,41.44,8.876,1.541,19.3,1,1,2,Asym Spintacked on CL,
10,85,14.09,44.24,8.985,0.783,17.5,1,1,2,Asym Spintacked on CL,
10,90,13.57,47.19,9.045,0,15.4,1,1,2,Asym Spintacked on CL,
10,95,12.99,50.27,9.057,-0.789,13.3,1,1,2,Asym Spintacked on CL,
10,100,12.36,53.45,9.034,-1.569,11.2,1,1,2,Asym Spintacked on CL,
10,105,11.69,56.76,8.98,-2.324,9.3,1,1,2,Asym Spintacked on CL,
10,110,10.98,60.28,8.891,-3.041,7.4,1,1,2,Asym Spintacked on CL,
10,115,10.25,64.08,8.763,-3.703,5.6,1,1,2,Asym Spintacked on CL,
10,120,9.48,68.31,8.587,-4.294,4.4,1,1,2,Asym Spintacked on CL,
10,125,8.71,73.19,8.356,-4.792,3.5,1,1,2,Asym Spintacked on CL,
10,130,7.94,79.12,8.044,-5.17,2.7,1,1,2,Asym Spintacked on CL,
10,135,7.21,86.6,7.628,-5.394,2.1,1,1,2,Asym Spintacked on CL,
10,140,6.58,95.51,7.17,-5.492,1.6,1,1,2,Asym Spintacked on CL,
10,145,6.05,105.04,6.773,-5.548,1.2,1,1,2,Asym Spintacked on CL,
10,148.7,5.73,112.52,6.511,-5.564,1,1,1,1,Asym Spintacked on CL,OPTDN
10,150,5.63,115.22,6.422,-5.561,0.9,1,1,2,Asym Spintacked on CL,
10,155,5.33,126.18,6.083,-5.513,0.7,1,1,2,Asym Spintacked on CL,
10,160,5.16,137.54,5.764,-5.417,0.5,1,1,2,Asym Spintacked on CL,
10,165,5.08,148.72,5.499,-5.312,0.3,1,1,2,Asym Spintacked on CL,
10,170,4.76,158.79,5.331,-5.25,0,1,1,3,Poled Jib,
10,175,4.71,169.41,5.256,-5.236,-0.1,1,1,3,Poled Jib,
10,180,4.79,180,5.135,-5.135,-0.1,1,1,3,Poled Jib,
12,40,17.03,26.32,6.14,4.703,9,1,0.691,4,Jib,
12,45,17.61,27.81,7.125,5.038,12.4,1,0.7845,3,Jib,
12,47.8,17.83,28.72,7.589,5.094,14,1,0.8185,2,Jib,OPTUP
12,50,17.92,29.48,7.872,5.06,15,1,0.84,4,Jib,
12,55,17.92,31.54,8.321,4.773,16.7,1,0.8834,3,Jib,
12,60,17.73,33.8,8.616,4.308,17.9,1,0.9242,3,Jib,
12,65,17.45,36.18,8.838,3.735,18.8,1,0.9665,3,Jib,
12,70,17.09,38.73,9.016,3.084,19.1,1,1,3,Jib,
12,75,16.68,41.63,9.15,2.368,17.8,1,1,3,Jib,
12,80,16.43,44.32,9.257,1.607,21.4,1,0.8736,2,Asym Spintacked on CL,
12,85,15.91,47.02,9.393,0.819,21.5,1,0.9335,2,Asym Spintacked on CL,
12,90,15.35,49.83,9.511,0,21.4,1,1,2,Asym Spintacked on CL,
12,95,14.76,53.4,9.569,-0.834,18.4,1,1,2,Asym Spintacked on CL,
12,100,14.1,57.08,9.575,-1.663,15.6,1,1,2,Asym Spintacked on CL,
12,105,13.38,60.88,9.538,-2.468,12.9,1,1,2,Asym Spintacked on CL,
12,110,12.62,64.88,9.457,-3.234,10.2,1,1,2,Asym Spintacked on CL,
12,115,11.82,69.14,9.335,-3.945,7.8,1,1,2,Asym Spintacked on CL,
12,120,11.01,73.76,9.173,-4.586,5.6,1,1,2,Asym Spintacked on CL,
12,125,10.2,78.85,8.974,-5.147,4.3,1,1,2,Asym Spintacked on CL,
12,130,9.4,84.59,8.739,-5.617,3.4,1,1,2,Asym Spintacked on CL,
12,135,8.64,91.14,8.469,-5.988,2.7,1,1,2,Asym Spintacked on CL,
12,140,7.95,98.71,8.159,-6.25,2.1,1,1,2,Asym Spintacked on CL,
12,145,7.35,107.5,7.802,-6.391,1.7,1,1,2,Asym Spintacked on CL,
12,149.8,6.9,116.97,7.436,-6.427,1.3,1,1,1,Asym Spintacked on CL,OPTDN
12,150,6.88,117.37,7.421,-6.427,1.3,1,1,2,Asym Spintacked on CL,
12,155,6.54,127.89,7.057,-6.396,0.9,1,1,2,Asym Spintacked on CL,
12,160,6.33,138.64,6.736,-6.33,0.7,1,1,2,Asym Spintacked on CL,
12,165,6.2,149.35,6.467,-6.247,0.5,1,1,2,Asym Spintacked on CL,
12,170,5.81,159.14,6.298,-6.202,0,1,1,3,Poled Jib,
12,175,5.74,169.59,6.213,-6.189,-0.1,1,1,3,Poled Jib,
12,180,5.83,180,6.077,-6.077,-0.1,1,1,3,Poled Jib,
16,40,21.52,27.49,6.9,5.286,13,1,0.572,4,Jib,
16,45,22.08,29.23,7.946,5.618,16.5,1,0.6234,4,Jib,
16,45.3,22.09,29.33,7.983,5.619,16.6,1,0.6253,2,Jib,OPTUP
16,50,22.13,31.57,8.479,5.45,18.5,1,0.6554,3,Jib,
16,55,21.95,34.16,8.818,5.058,19.9,1,0.684,4,Jib,
16,60,21.67,36.94,9.076,4.538,20.5,1,0.706,3,Jib,
16,65,21.3,39.84,9.286,3.925,20.9,1,0.7319,3,Jib,
16,70,20.86,42.81,9.465,3.237,21.2,1,0.7652,3,Jib,
16,75,20.36,45.87,9.623,2.491,21.3,1,0.8088,3,Jib,
16,80,19.8,49.01,9.763,1.695,21.5,1,0.8656,3,Jib,
16,85,19.2,52.23,9.888,0.862,21.5,1,0.9384,3,Jib,
16,90,18.9,56.09,10.01,0,22.5,1,0.7586,2,Asym Spintacked on CL,
16,95,18.21,59.51,10.144,-0.884,22.4,1,0.8276,2,Asym Spintacked on CL,
16,100,17.47,63.02,10.271,-1.783,22.3,1,0.912,2,Asym Spintacked on CL,
16,105,16.71,66.78,10.386,-2.688,21.7,1,1,3,Asym Spintacked on CL,
16,110,15.94,71.63,10.366,-3.545,17.1,1,1,2,Asym Spintacked on CL,
16,115,15.09,76.64,10.261,-4.336,13.2,1,1,2,Asym Spintacked on CL,
16,120,14.22,81.89,10.108,-5.054,9.9,1,1,2,Asym Spintacked on CL,
16,125,13.35,87.45,9.926,-5.693,7.2,1,1,2,Asym Spintacked on CL,
16,130,12.5,93.41,9.728,-6.253,5.2,1,1,2,Asym Spintacked on CL,
16,135,11.69,99.86,9.522,-6.733,4.1,1,1,2,Asym Spintacked on CL,
16,140,10.94,106.86,9.311,-7.132,3.3,1,1,2,Asym Spintacked on CL,
16,145,10.27,114.49,9.094,-7.449,2.6,1,1,2,Asym Spintacked on CL,
16,150,9.69,122.78,8.868,-7.68,2,1,1,2,Asym Spintacked on CL,
16,155,9.23,131.73,8.628,-7.82,1.5,1,1,2,Asym Spintacked on CL,
16,160,8.9,141.21,8.38,-7.874,1.1,1,1,2,Asym Spintacked on CL,
16,165,8.69,150.96,8.143,-7.866,0.8,1,1,2,Asym Spintacked on CL,
16,170,8.11,160.12,8.007,-7.885,-0.1,1,1,3,Poled Jib,
16,172.2,8.04,164.36,7.98,-7.906,-0.1,1,1,3,Poled Jib,OPTDN
16,175,8.03,170.07,7.908,-7.878,-0.2,1,1,3,Poled Jib,
16,180,8.12,180,7.757,-7.757,-0.2,1,1,3,Poled Jib,
20,40,25.6,28.76,7.172,5.494,15.2,1,0.4573,4,Jib,
20,44.4,26.08,30.49,8.141,5.815,18.3,1,0.4896,3,Jib,OPTUP
20,45,26.09,30.78,8.218,5.811,18.6,1,0.4925,4,Jib,
20,50,26.05,33.49,8.7,5.592,20.2,1,0.5131,3,Jib,
20,55,25.82,36.48,9.026,5.177,21,1,0.5269,3,Jib,
20,60,25.49,39.61,9.283,4.642,21.5,1,0.5438,3,Jib,
20,65,25.07,42.83,9.502,4.016,21.8,1,0.5663,3,Jib,
20,70,24.58,46.15,9.695,3.316,22,1,0.597,3,Jib,
20,75,24.03,49.54,9.872,2.555,22.1,1,0.6383,3,Jib,
20,80,23.43,53.04,10.036,1.743,22.2,1,0.6924,3,Jib,
20,85,22.77,56.63,10.187,0.888,22.2,1,0.7595,3,Jib,
20,90,22.05,60.33,10.326,0,22.2,1,0.839,3,Jib,
20,95,21.78,64.66,10.494,-0.915,23,1,0.6519,2,Asym Spintacked on CL,
20,100,20.99,68.56,10.667,-1.852,22.9,1,0.7256,2,Asym Spintacked on CL,
20,105,20.15,72.58,10.835,-2.804,22.8,1,0.8141,2,Asym Spintacked on CL,
20,110,19.27,76.75,10.994,-3.76,22.8,1,0.9192,2,Asym Spintacked on CL,
20,115,18.4,81.36,11.119,-4.699,20.9,1,1,3,Asym Spintacked on CL,
20,120,17.54,87.01,11.007,-5.503,16.1,1,1,2,Asym Spintacked on CL,
20,125,16.64,92.89,10.823,-6.208,12.2,1,1,2,Asym Spintacked on CL,
20,130,15.76,99.05,10.618,-6.825,9.2,1,1,2,Asym Spintacked on CL,
20,135,14.93,105.56,10.409,-7.36,6.6,1,1,2,Asym Spintacked on CL,
20,140,14.15,112.47,10.202,-7.815,4.8,1,1,2,Asym Spintacked on CL,
20,145,13.46,119.83,9.997,-8.189,3.7,1,1,2,Asym Spintacked on CL,
20,150,12.86,127.66,9.788,-8.477,2.9,1,1,2,Asym Spintacked on CL,
20,155,12.37,135.92,9.578,-8.68,2.2,1,1,2,Asym Spintacked on CL,
20,160,11.99,144.5,9.376,-8.81,1.7,1,1,2,Asym Spintacked on CL,
20,165,11.73,153.29,9.2,-8.886,1.3,1,1,2,Asym Spintacked on CL,
20,170,10.96,161.67,9.138,-8.999,-0.2,1,1,3,Poled Jib,
20,173,10.87,167.23,9.095,-9.028,-0.3,1,1,3,Poled Jib,OPTDN
20,175,10.85,170.83,9.053,-9.019,-0.3,1,1,3,Poled Jib,
20,180,10.9,180,8.94,-8.94,-0.3,1,1,4,Poled Jib,
24,40,29.25,30.32,6.906,5.291,15.7,1,0.3614,1,Jib,
24,44.9,29.9,32.19,8.204,5.811,19.6,1,0.3932,6,Jib,OPTUP
24,45,29.91,32.24,8.217,5.811,19.6,1,0.3936,9,Jib,
24,50,29.85,35.19,8.73,5.612,21,1,0.4056,5,Jib,
24,55,29.52,38.41,9.072,5.204,21.6,0.9737,0.4404,4,Jib,
24,60,29.1,41.74,9.347,4.673,21.9,0.9512,0.4779,3,Jib,
24,65,28.61,45.18,9.584,4.05,22.1,0.938,0.5142,3,Jib,
24,70,28.08,48.72,9.798,3.351,22.3,0.9292,0.5557,3,Jib,
24,75,27.48,52.35,9.997,2.588,22.4,0.9231,0.6059,3,Jib,
24,80,26.83,56.07,10.184,1.769,22.4,0.9198,0.6648,3,Jib,
24,85,26.14,59.91,10.362,0.903,22.5,0.921,0.7281,3,Jib,
24,90,25.64,64.05,10.536,0,22.9,0.8009,0.731,2,Asym Spintacked on CL,
24,95,24.95,68.15,10.739,-0.936,23,0.8331,0.7456,2,Asym Spintacked on CL,
24,100,24.22,72.39,10.942,-1.9,23.1,0.8705,0.7615,2,Asym Spintacked on CL,
24,105,23.46,76.8,11.144,-2.884,23.1,0.9118,0.7809,2,Asym Spintacked on CL,
24,110,22.65,81.4,11.346,-3.88,23.2,0.9559,0.806,2,Asym Spintacked on CL,
24,115,21.81,86.17,11.552,-4.882,23.3,1,0.8426,2,Asym Spintacked on CL,
24,120,20.8,90.91,11.768,-5.884,23.3,1,0.9652,2,Asym Spintacked on CL,
24,125,19.92,96.33,11.824,-6.782,19.3,1,1,2,Asym Spintacked on CL,
24,130,19.05,102.57,11.617,-7.467,14.7,1,1,2,Asym Spintacked on CL,
24,135,18.2,109.1,11.377,-8.045,11,1,1,2,Asym Spintacked on CL,
24,140,17.42,115.97,11.129,-8.525,7.9,1,1,2,Asym Spintacked on CL,
24,145,16.72,123.2,10.88,-8.912,5.4,1,1,2,Asym Spintacked on CL,
24,150,16.13,130.82,10.632,-9.208,4,1,1,2,Asym Spintacked on CL,
24,155,15.64,138.72,10.398,-9.424,3.1,1,1,2,Asym Spintacked on CL,
24,160,15.27,146.83,10.19,-9.576,2.4,1,1,2,Asym Spintacked on CL,
24,165,14.99,155.05,10.019,-9.678,1.8,1,1,2,Asym Spintacked on CL,
24,170,14.08,162.92,9.992,-9.841,-0.3,1,1,3,Poled Jib,
24,173.2,13.99,168.29,9.942,-9.871,-0.4,1,1,3,Poled Jib,OPTDN
24,175,13.97,171.46,9.9,-9.862,-0.5,1,1,3,Poled Jib,
24,180,14.02,180,9.787,-9.787,-0.4,1,1,5,Poled Jib,
